iter	RMSE	MAE
2115	7943.899587	4450.7832
2120	7943.858887	4450.7208
2125	7943.820388	4450.6592
2130	7943.780513	4450.598133
2135	7943.739813	4450.536533
2140	7943.700763	4450.476
2145	7943.660887	4450.414667
2150	7943.620737	4450.353867
2155	7943.581411	4450.292267
2160	7943.54181	4450.2312
2165	7943.501384	4450.1704
2170	7943.462332	4450.110133
2175	7943.421906	4450.048533
2180	7943.382029	4449.9872
2185	7943.343527	4449.925333
2190	7943.3031	4449.864533
2195	7943.262397	4449.8024
2200	7943.22307	4449.741333
2205	7943.183742	4449.6808
2210	7943.144689	4449.6192
2215	7943.104811	4449.5568
2220	7943.064933	4449.4968
2225	7943.024229	4449.4352
2230	7942.985725	4449.373867
2235	7942.945296	4449.312
2240	7942.905692	4449.251467
2245	7942.867463	4449.191733
2250	7942.826758	4449.129867
2255	7942.785778	4449.069067
2260	7942.746173	4449.0072
2265	7942.707118	4448.9464
2270	7942.668063	4448.8848
2275	7942.628458	4448.823733
2280	7942.587477	4448.762667
2285	7942.547321	4448.701333
2290	7942.50909	4448.638667
2295	7942.469208	4448.578667
2300	7942.429052	4448.517067
2305	7942.389445	4448.4552
2310	7942.350938	4448.394933
2315	7942.310506	4448.333333
2320	7942.269799	4448.271733
2325	7942.230466	4448.210667
2330	7942.191408	4448.150133
2335	7942.151526	4448.088267
2340	7942.111092	4448.0264
2345	7942.071484	4447.965333
2350	7942.032701	4447.904533
2355	7941.993917	4447.844
2360	7941.951007	4447.783467
2365	7941.912224	4447.721867
2370	7941.87454	4447.660267
2375	7941.833555	4447.598933
2380	7941.795045	4447.5376
2385	7941.75461	4447.476533
2390	7941.7139	4447.415467
2395	7941.67539	4447.353333
2400	7941.63633	4447.291733
2405	7941.595894	4447.230667
2410	7941.556008	4447.1696
2415	7941.515571	4447.107733
2420	7941.47541	4447.0472
2425	7941.436899	4446.9856
2430	7941.397012	4446.924533
2435	7941.356025	4446.863733
2440	7941.317788	4446.802133
2445	7941.278726	4446.7408
2450	7941.238288	4446.68
2455	7941.198126	4446.6184
2460	7941.158238	4446.557867
2465	7941.119725	4446.496267
2470	7941.079561	4446.4344
2475	7941.038848	4446.373067
2480	7940.999509	4446.311467
2485	7940.960721	4446.2512
2490	7940.919731	4446.190133
2495	7940.880667	4446.128533
2500	7940.841052	4446.069067
2505	7940.802263	4446.007733
2510	7940.760998	4445.9472
2515	7940.722208	4445.885067
2520	7940.682043	4445.823733
2525	7940.642702	4445.762933
2530	7940.603912	4445.7016
2535	7940.562645	4445.639467
2540	7940.523304	4445.577867
2545	7940.482863	4445.5168
2550	7940.444622	4445.454933
2555	7940.40363	4445.393867
2560	7940.364563	4445.332533
2565	7940.324671	4445.271467
2570	7940.285604	4445.2096
2575	7940.245712	4445.149333
2580	7940.205819	4445.088267
2585	7940.166201	4445.0272
2590	7940.126033	4444.965867
2595	7940.086415	4444.904267
2600	7940.046796	4444.842667
2605	7940.007728	4444.7816
2610	7939.968384	4444.7208
